label,eigen_ratio,rot_corr
0,0.67679006,-0.19399495
0,0.8047179,0.6329145
0,0.7280573,0.332176
0,0.70575374,0.629052
0,0.6454448,0.123781346
0,0.7861491,0.5128897
0,0.6461636,-0.09209156
0,0.65178484,-0.25960773
0,0.57777,0.23658855
0,0.53460777,-0.23622376
1,0.79139787,0.73129493
1,0.74486345,0.863008
1,0.8530706,0.7645819
1,0.77915156,0.25629774
1,0.6798963,0.76927537
1,0.8091409,0.59183645
1,0.63568914,0.7712485
1,0.8175792,0.840619
1,0.8677939,0.7746951
1,0.56299245,0.77668446
1,0.7141674,0.66454595
1,0.63313925,0.68857
1,0.7627349,0.68924266
1,0.7864851,0.82595706
1,0.47709963,0.7676246
1,0.7576874,0.6327587
1,0.89063036,0.79869264
1,0.78637207,0.7981234
1,0.6852646,0.7722874
1,0.8859,0.45505488
1,0.8191486,0.7328699
1,0.87992644,0.7324269
1,0.6427493,0.7565941
1,0.79929656,0.7397566
1,0.8814316,0.39747286
1,0.6620176,0.81293535
1,0.8555151,0.6263291
1,0.86273307,0.87249446
1,0.6619755,0.7426912
1,0.7036813,0.6861729
1,0.82281315,0.76050496
1,0.6337992,0.725132
1,0.52576977,0.7137966
1,0.8222529,0.81948715
1,0.65345126,0.810946
1,0.8291767,0.6508617
1,0.81238776,0.28404704
0,0.85326,0.84635705
0,0.63385344,0.1718415
0,0.82471716,0.7327354
0,0.87850875,0.6555496
0,0.9704488,0.81976557
0,0.7980147,0.66564316
0,0.9606266,0.82326144
0,0.8104905,0.80883414
0,0.80413514,0.30735192
0,0.4880576,0.69312316
0,0.7739229,0.7383275
0,0.692834,0.71979237
0,0.96113735,0.88357526
0,0.89397347,0.8058838
0,0.8122701,0.7693567
0,0.8148283,0.62777734
0,0.85010445,0.75610685
0,0.92012876,0.74236745
0,0.8123321,0.81865674
0,0.5484798,0.59338784
0,0.7974658,0.5413589
0,0.808716,0.7849582
0,0.5895703,0.65011305
0,0.79752856,0.73383933
0,0.83535844,0.70843416
0,0.8178698,0.76312786
0,0.6437122,0.2980741
0,0.663807,0.6738598
0,0.75453514,0.68520564
0,0.68098116,0.66531104
0,0.8052888,0.6238856
0,0.73264754,0.3718008
0,0.9258605,0.78193694
0,0.75603205,0.60353166
0,0.73047227,0.69825655
0,0.8115947,0.7130309
